全国房价排行榜
（住宅 2025年10月）
排名	城市	二手房(元/㎡)	同比(去年)	环比(上月)	新房(元/㎡)
1	深圳	65441	-2.18%	+25.48%	54802
2	上海	60200	-8.48%	-3.62%	61135
3	北京	51132	-7.64%	+14.82%	56029
4	厦门	33851	-16.73%	-0.42%	37698
5	广州	32947	-9.1%	-4.7%	34895
6	杭州	32792	-6.99%	+5.56%	27755
7	三亚	28127	-12.62%	--	30678
8	南京	23449	-10.12%	+1.06%	31538
9	珠海	19970	-8.52%	-1.74%	22829
10	福州	19066	-7.1%	-5.95%	19410
11	东莞	18983	-8.81%	+2.81%	21966
12	宁波	18886	-14%	-13.88%	21321
13	天津	17588	-7.47%	+11.64%	20697
14	苏州	15737	-21.11%	-2.36%	22605
15	成都	15600	-10.48%	-2.98%	18486
16	金华	15459	-0.83%	-2.78%	17635
17	温州	14867	-10.62%	+2.25%	18637
18	青岛	14571	-12.41%	+0.47%	17289
19	绍兴	14493	-9.79%	-2.91%	17949
20	合肥	14172	-20.74%	+6.77%	17542
21	济南	14050	-7.55%	-0.26%	14892
22	丽水	13995	-12.83%	+9.1%	14227
23	海口	13891	-11.16%	--	17603
24	无锡	13857	-7.98%	-0.89%	20101
25	台州	13461	-15.59%	+7.48%	17214
26	嘉兴	12839	-11.58%	-0.28%	15968
27	西安	12752	-12.59%	+2.22%	16883
28	泉州	12600	-10.06%	-0.46%	11429
29	舟山	12581	-5.1%	-1.18%	14660
30	佛山	12568	-10.32%	-10.11%	15834
31	常州	12355	-9.36%	-0.31%	16643
32	莆田	12158	-8.13%	+0.93%	10273
33	衢州	12125	-2.43%	+6.87%	14379
34	武汉	12053	-19.11%	-1.51%	15732
35	拉萨	11884	+1.78%	+2.4%	8977
36	石家庄	11295	-8.56%	+1.26%	14486
37	大连	11233	-8.17%	+1.05%	14628
38	榆林	11229	-5.41%	+1.04%	7795
39	宁德	11133	-9.52%	-0.23%	10063
40	南通	10835	-12.15%	+0.03%	15218
41	昆明	10653	-5.83%	-1.5%	12040
42	漳州	10597	-7.14%	-1.18%	9632
43	大理州	10593	--	--	8405
44	汕头	10422	-3.29%	-0.1%	9790
45	南昌	10282	-9.99%	-9.02%	9530
46	南宁	10268	--	--	12293
47	郑州	10217	-19.25%	+0.53%	13431
48	凉山	10132	--	--	8576
49	长沙	9965	-6.05%	-0.31%	10569
50	湖州	9795	-7.49%	-2.39%	12801
51	日喀则	9688	+15.83%	+6.94%	8166
52	扬州	9677	-20.62%	-2.91%	13275
53	三明	9576	-4.97%	+1.4%	8745
54	重庆	9542	-11.77%	-1.14%	11116
55	泰州	9527	-9.03%	-0.65%	11746
56	兰州	9369	-6.69%	+0.02%	8626
57	中山	9340	-8.44%	-0.35%	11807
58	太原	9280	-4.64%	+0.4%	11043
59	龙岩	9109	-5.63%	-1.33%	10517
60	邯郸	8982	-7.54%	+2.51%	9546
61	芜湖	8834	-8.96%	-1.03%	11925
62	秦皇岛	8817	-5.51%	-1.26%	10782
63	湛江	8802	-4.51%	+1.17%	9561
64	廊坊	8714	-10.74%	-1.68%	10194
65	唐山	8697	-7.69%	-9.35%	11548
66	沈阳	8688	-5.13%	+2.23%	12026
67	呼和浩特	8593	-7.08%	-1.42%	11521
68	西宁	8536	-3.06%	+0.74%	9300
69	沧州	8428	-6.6%	-0.53%	8144
70	连云港	8417	-15.86%	-2.04%	9240
71	惠州	8338	-7.86%	-3.92%	8698
72	哈尔滨	8333	-2.89%	+1.87%	9905
73	潮州	8270	-14.13%	-0.06%	13543
74	乌鲁木齐	8253	-1.26%	+7.68%	9095
75	陇南	8224	-1.2%	+0.64%	6096
76	长治	8142	+3.63%	+6.07%	7892
77	赣州	8015	-10.08%	+0.52%	8131
78	聊城	7979	-1%	+3.94%	7934
79	盐城	7914	-14.67%	-0.44%	9457
80	承德	7843	-2.86%	+0.23%	7477
81	徐州	7822	-12.53%	-0.66%	10692
82	丽江	7816	-0.77%	-0.27%	9019
83	鄂尔多斯	7797	-5.55%	+2.28%	7660
84	晋城	7739	-0.62%	+3.68%	6659
85	南平	7676	-7.16%	+2.41%	9747
86	洛阳	7656	-4.16%	-0.91%	7164
87	泰安	7558	-13.34%	+1.16%	8940
88	阿坝	7555	-11.13%	+3.44%	6086
89	镇江	7549	-8.61%	-1.56%	10433
90	长春	7545	-8.49%	-0.16%	9389
91	江门	7541	-2.5%	-0.8%	8032
92	烟台	7494	-3.87%	-1.25%	10794
93	威海	7425	-13.42%	-0.59%	10467
94	揭阳	7407	+5.84%	-5.63%	7769
95	贵阳	7383	-8.08%	-0.81%	9029
96	马鞍山	7372	-7.41%	-1.03%	9388
97	汕尾	7370	+5.71%	+0.46%	7941
98	日照	7352	-3.83%	+9.21%	8172
99	保定	7344	-10.43%	+0.56%	9987
100	九江	7309	-9.99%	-0.49%	6404
101	临沂	7271	-8.58%	-0.89%	8921
102	济源	7262	-7.41%	-1.35%	5456
103	黄山	7250	-12.78%	+4.69%	7874
104	绵阳	7177	-6.83%	-0.57%	7714
105	甘孜	7169	-10.26%	-1.16%	6701
106	林芝	7142	+1.15%	+0.04%	6780
107	池州	7128	-3.19%	+5.68%	7219
108	天水	7091	-6.28%	-1.14%	6775
109	广元	7064	+4.37%	+0.69%	6672
110	临汾	7045	-2.55%	-0.2%	6359
111	宣城	7031	-6.14%	-1.07%	7128
112	襄阳	7017	-5.12%	-1.68%	8305
113	茂名	6995	-7.9%	-1.54%	7004
114	宿迁	6970	-19.48%	-0.39%	8899
115	山南	6935	+3.15%	+0.71%	9034
116	鹤壁	6930	+5.34%	+0.25%	5387
117	枣庄	6927	-7.47%	-1.92%	7046
118	梅州	6913	+5.91%	-1.91%	5289
119	伊犁	6911	+1.1%	-1.26%	5837
120	吴忠	6900	-0.03%	+0.03%	6311
121	银川	6893	-4.57%	+1.36%	8371
122	包头	6891	+1.31%	-0.62%	7899
123	普洱	6870	+2.29%	+2.45%	4389
124	淄博	6860	-10.7%	+2.45%	8980
125	咸阳	6849	-12.98%	-1.77%	8354
126	德州	6839	-8.37%	+0.28%	7013
127	西双版纳	6807	-9.31%	+0.01%	7185
128	庆阳	6776	--	--	5410
129	肇庆	6772	-3.77%	-0.18%	6462
130	上饶	6769	-6.9%	-1.06%	7727
131	张家口	6766	--	--	8657
132	济宁	6766	-3.4%	-1.01%	8494
133	吉安	6758	-7.25%	-1.61%	6986
134	邢台	6684	-4.62%	-3.92%	7644
135	衡水	6679	-0.74%	+0.15%	7055
136	柳州	6677	-6.63%	-0.27%	7929
137	宜宾	6658	-1.93%	+0.5%	6972
138	吕梁	6638	-4.49%	+7.2%	6042
139	濮阳	6575	-6.21%	+0.18%	6252
140	临夏	6573	-1.47%	-0.29%	5555
141	商洛	6565	+0.69%	+2.33%	5178
142	蚌埠	6554	-9.66%	-1.28%	6903
143	宜昌	6536	-3.34%	+3.15%	7291
144	赤峰	6534	-4.59%	-1.21%	7077
145	宜春	6500	-10.36%	+0.37%	8850
146	开封	6401	--	--	6433
147	神农架	6388	-7.14%	--	6922
148	安庆	6366	-5.52%	-0.47%	7073
149	晋中	6334	-2.13%	-0.87%	6734
150	忻州	6327	-14.36%	+5.85%	5630
151	滨州	6324	+3.28%	+0.73%	6381
152	阜阳	6313	-8.19%	+1.19%	7090
153	潍坊	6257	-5.37%	+0.59%	8015
154	酒泉	6251	-2.07%	-1.98%	5301
155	淮安	6249	-18.43%	+1.38%	8690
156	武威	6212	-2.1%	+0.98%	5534
157	延安	6193	-1.79%	-1.82%	7588
158	亳州	6182	-8.73%	+1.59%	6155
159	雅安	6143	-6.81%	+0.05%	6397
160	临沧	6119	-8.56%	+2.47%	6168
161	南阳	6107	-5.21%	-1.16%	5868
162	东营	6107	-11.35%	-3.78%	7672
163	商丘	6087	+3.73%	-0.69%	5691
164	十堰	6039	-2.66%	+0.03%	6096
165	德阳	6033	-3.07%	-0.81%	6278
166	淮北	5990	-8.06%	-2.2%	6766
167	丹东	5988	-1.33%	-0.75%	7255
168	定西	5966	-6.69%	-0.39%	5185
169	景德镇	5959	-5.61%	-0.6%	15437
170	保山	5955	+1.28%	+7.15%	7484
171	张家界	5936	+6.82%	-0.34%	5461
172	鹰潭	5925	-1.46%	+3.83%	6243
173	德宏	5906	+6.78%	+4.39%	6539
174	通辽	5905	+2.38%	-6.52%	5882
175	运城	5903	-3.5%	-1.36%	6268
176	新乡	5901	-9.34%	-0.61%	6765
177	玉溪	5884	-1.29%	-0.05%	6507
178	焦作	5872	+1.42%	-2.88%	5445
179	眉山	5859	-6.06%	-0.77%	8176
180	娄底	5841	--	--	5538
181	平凉	5840	-3.28%	-0.1%	5665
182	汉中	5818	-1.12%	-0.26%	5940
183	石河子	5814	-5.14%	+0.05%	6020
184	滁州	5795	-7.78%	-0.24%	6078
185	宿州	5780	-8.2%	-1.19%	6596
186	岳阳	5772	+2.49%	-1.72%	6089
187	贺州	5735	-0.17%	+1.53%	5384
188	兴安盟	5732	--	--	4848
189	铜陵	5732	-12.53%	+12.39%	7766
190	抚州	5724	-1.62%	+8.02%	7388
191	桂林	5706	-3.37%	-3.05%	6343
192	信阳	5698	-7.35%	+0.23%	5549
193	新余	5696	-10.27%	-2.12%	6722
194	固原	5695	+2.35%	-1.09%	5810
195	攀枝花	5688	--	--	6811
196	达州	5684	-5.24%	+0.76%	5965
197	迪庆	5682	-5.11%	-0.4%	5282
198	菏泽	5678	+1.56%	-1%	5378
199	昭通	5674	-5.81%	+0.37%	5212
200	南充	5674	-5.62%	-0.23%	5343
201	许昌	5657	-3.53%	-0.14%	6142
202	大同	5622	-2.95%	-1.21%	7554
203	安阳	5618	-1.78%	+0.46%	6813
204	泸州	5615	-4.91%	-0.62%	5890
205	荆州	5572	-3.81%	-0.09%	6411
206	河源	5571	-2.55%	-0.75%	5589
207	乌海	5551	-6.15%	+2.16%	4696
208	六安	5542	-6.29%	-0.61%	6824
209	海东	5521	-9.34%	+1.87%	5528
210	黄冈	5513	-3.75%	+0.54%	5252
211	韶关	5511	+2.82%	+4.26%	5454
212	喀什	5506	-0.25%	+0.07%	5244
213	郴州	5499	+3.02%	+2.02%	5441
214	内江	5487	-1.67%	-0.47%	5642
215	渭南	5484	-7.54%	+1%	5665
216	阿勒泰	5479	+8.75%	-1.19%	--
217	遂宁	5464	-5.42%	-0.22%	5764
218	昌吉	5428	+2.49%	-0.88%	5153
219	锡林郭勒	5420	-1.49%	-0.98%	4647
220	驻马店	5420	-4.26%	-0.17%	5450
221	阳江	5373	-3.21%	+0.24%	5622
222	红河	5307	-0.75%	-0.87%	6594
223	常德	5303	+2.34%	-1.6%	4803
224	安康	5286	-13%	+3.5%	5598
225	锦州	5266	+0.06%	-1.82%	4779
226	呼伦贝尔	5258	-3.84%	-0.19%	7834
227	株洲	5226	-6.02%	+0.52%	5824
228	北海	5224	-7.44%	+0.34%	6193
229	伊春	5213	-2.14%	-3.2%	4811
230	潜江	5185	-4.23%	+0.42%	5829
231	遵义	5178	-4.66%	-2.22%	5457
232	平顶山	5172	-15.16%	+4.25%	5756
